trans_id,member_id,store_id,trans_date
03-01-2021_11:36:24_1697_2,1697,2,2021-01-03
03-01-2021_18:13:12_1366_3,1366,3,2021-01-03
03-01-2021_20:23:31_1454_3,1454,3,2021-01-03
03-01-2021_10:57:18_1010_2,1010,2,2021-01-03
03-01-2021_15:56:26_1010_1,1010,1,2021-01-03
03-01-2021_04:40:12_1207_3,1207,3,2021-01-03
03-01-2021_07:17:53_1251_1,1251,1,2021-01-03
03-01-2021_11:56:42_1031_3,1031,3,2021-01-03
03-01-2021_10:50:46_1289_2,1289,2,2021-01-03
03-01-2021_11:19:10_1520_3,1520,3,2021-01-03
03-01-2021_19:09:18_1164_3,1164,3,2021-01-03
03-01-2021_13:19:04_1520_1,1520,1,2021-01-03
03-01-2021_08:26:29_1413_1,1413,1,2021-01-03
03-01-2021_09:48:36_1310_2,1310,2,2021-01-03
03-01-2021_12:05:05_1697_1,1697,1,2021-01-03
03-01-2021_09:35:40_1513_3,1513,3,2021-01-03
03-01-2021_01:21:57_1522_2,1522,2,2021-01-03
03-01-2021_10:09:02_1884_3,1884,3,2021-01-03
03-01-2021_09:10:04_1371_1,1371,1,2021-01-03
03-01-2021_22:17:52_1289_3,1289,3,2021-01-03
03-01-2021_15:25:36_1706_1,1706,1,2021-01-03
03-01-2021_05:18:05_1085_2,1085,2,2021-01-03
03-01-2021_02:05:55_1972_2,1972,2,2021-01-03
03-01-2021_13:44:30_1087_1,1087,1,2021-01-03
03-01-2021_08:37:40_1881_1,1881,1,2021-01-03
04-01-2021_06:03:06_1335_3,1335,3,2021-01-04
04-01-2021_07:32:52_1232_1,1232,1,2021-01-04
04-01-2021_06:20:44_1973_2,1973,2,2021-01-04
04-01-2021_06:43:50_1967_3,1967,3,2021-01-04
04-01-2021_02:51:39_1520_1,1520,1,2021-01-04
04-01-2021_07:32:25_member_id_2,member_id,2,2021-01-04
04-01-2021_04:57:13_1013_1,1013,1,2021-01-04
04-01-2021_08:20:19_1232_1,1232,1,2021-01-04
04-01-2021_09:10:28_1134_1,1134,1,2021-01-04
04-01-2021_07:21:48_1522_2,1522,2,2021-01-04
04-01-2021_20:39:32_1595_2,1595,2,2021-01-04
04-01-2021_14:42:05_1595_1,1595,1,2021-01-04
04-01-2021_14:30:50_1372_2,1372,2,2021-01-04
04-01-2021_21:52:19_1795_2,1795,2,2021-01-04
04-01-2021_04:41:06_1250_2,1250,2,2021-01-04
04-01-2021_07:17:06_1540_2,1540,2,2021-01-04
04-01-2021_04:05:04_1234_2,1234,2,2021-01-04
04-01-2021_03:59:17_1795_2,1795,2,2021-01-04
04-01-2021_01:34:57_1942_3,1942,3,2021-01-04
04-01-2021_04:48:27_1087_3,1087,3,2021-01-04
04-01-2021_17:38:18_1620_3,1620,3,2021-01-04
04-01-2021_09:53:16_1207_3,1207,3,2021-01-04
04-01-2021_20:41:26_1511_1,1511,1,2021-01-04
04-01-2021_21:55:15_1061_2,1061,2,2021-01-04
04-01-2021_22:32:06_1413_2,1413,2,2021-01-04
04-01-2021_10:03:46_1973_1,1973,1,2021-01-04
04-01-2021_20:53:56_1100_1,1100,1,2021-01-04
04-01-2021_12:11:11_1010_1,1010,1,2021-01-04
04-01-2021_04:04:31_1200_3,1200,3,2021-01-04
04-01-2021_19:57:56_1336_1,1336,1,2021-01-04
04-01-2021_03:14:14_1792_1,1792,1,2021-01-04
04-01-2021_20:18:58_1522_1,1522,1,2021-01-04
04-01-2021_08:10:08_1522_2,1522,2,2021-01-04
04-01-2021_08:21:02_1074_2,1074,2,2021-01-04
05-01-2021_23:28:50_1923_3,1923,3,2021-01-05
05-01-2021_16:58:38_1013_2,1013,2,2021-01-05
05-01-2021_11:24:23_1595_3,1595,3,2021-01-05
05-01-2021_01:09:47_1282_2,1282,2,2021-01-05
05-01-2021_02:15:57_1632_2,1632,2,2021-01-05
05-01-2021_19:23:54_1675_3,1675,3,2021-01-05
05-01-2021_11:55:19_1701_3,1701,3,2021-01-05
05-01-2021_05:14:56_1222_3,1222,3,2021-01-05
05-01-2021_08:55:28_1625_3,1625,3,2021-01-05
05-01-2021_16:23:53_1570_2,1570,2,2021-01-05
05-01-2021_23:51:59_1972_3,1972,3,2021-01-05
05-01-2021_08:52:28_1232_2,1232,2,2021-01-05
05-01-2021_09:46:12_1506_3,1506,3,2021-01-05
05-01-2021_16:39:02_1506_1,1506,1,2021-01-05
05-01-2021_07:11:29_1511_2,1511,2,2021-01-05
05-01-2021_11:59:41_1413_3,1413,3,2021-01-05
05-01-2021_20:20:33_1549_1,1549,1,2021-01-05
05-01-2021_13:18:52_1506_1,1506,1,2021-01-05
05-01-2021_01:35:57_1207_3,1207,3,2021-01-05
05-01-2021_06:08:01_1134_1,1134,1,2021-01-05
05-01-2021_01:06:16_1570_2,1570,2,2021-01-05
05-01-2021_05:31:15_1368_1,1368,1,2021-01-05
05-01-2021_01:23:21_1761_3,1761,3,2021-01-05
06-01-2021_17:11:30_1620_3,1620,3,2021-01-06
06-01-2021_08:24:31_1675_3,1675,3,2021-01-06
06-01-2021_19:28:41_1406_3,1406,3,2021-01-06
06-01-2021_15:24:26_1997_3,1997,3,2021-01-06
06-01-2021_17:51:22_1310_2,1310,2,2021-01-06
06-01-2021_09:20:02_1798_1,1798,1,2021-01-06
06-01-2021_06:35:39_1855_3,1855,3,2021-01-06
06-01-2021_11:11:46_1881_3,1881,3,2021-01-06
06-01-2021_16:25:21_1134_2,1134,2,2021-01-06
06-01-2021_07:05:17_1298_3,1298,3,2021-01-06
06-01-2021_15:24:54_1855_3,1855,3,2021-01-06
06-01-2021_06:37:55_1580_3,1580,3,2021-01-06
06-01-2021_11:36:05_1540_2,1540,2,2021-01-06
06-01-2021_01:58:01_1884_2,1884,2,2021-01-06
06-01-2021_21:27:20_1636_1,1636,1,2021-01-06
06-01-2021_11:27:31_1289_1,1289,1,2021-01-06
06-01-2021_11:20:02_1234_2,1234,2,2021-01-06
06-01-2021_06:52:19_1568_1,1568,1,2021-01-06
07-01-2021_09:26:43_1194_3,1194,3,2021-01-07
07-01-2021_16:59:25_1164_3,1164,3,2021-01-07
07-01-2021_06:08:28_1923_3,1923,3,2021-01-07
07-01-2021_19:28:51_1413_3,1413,3,2021-01-07
07-01-2021_02:03:32_1967_1,1967,1,2021-01-07
07-01-2021_07:21:56_1222_2,1222,2,2021-01-07
07-01-2021_06:35:49_1636_2,1636,2,2021-01-07
07-01-2021_19:36:15_1660_3,1660,3,2021-01-07
07-01-2021_02:20:14_1282_3,1282,3,2021-01-07
07-01-2021_02:51:15_1475_1,1475,1,2021-01-07
07-01-2021_17:30:52_1549_3,1549,3,2021-01-07
07-01-2021_18:34:18_1165_2,1165,2,2021-01-07
07-01-2021_05:10:13_1164_1,1164,1,2021-01-07
07-01-2021_05:33:31_1855_2,1855,2,2021-01-07
07-01-2021_03:58:46_1164_3,1164,3,2021-01-07
07-01-2021_20:23:33_1013_1,1013,1,2021-01-07
07-01-2021_13:53:40_1973_3,1973,3,2021-01-07
07-01-2021_19:28:48_1928_1,1928,1,2021-01-07
07-01-2021_07:35:36_1580_3,1580,3,2021-01-07
07-01-2021_11:41:23_member_id_2,member_id,2,2021-01-07
07-01-2021_04:05:29_1251_1,1251,1,2021-01-07
07-01-2021_01:26:15_1194_1,1194,1,2021-01-07
07-01-2021_23:34:09_1792_1,1792,1,2021-01-07
07-01-2021_05:57:25_1511_1,1511,1,2021-01-07
07-01-2021_20:02:33_1792_2,1792,2,2021-01-07
07-01-2021_18:56:12_1475_3,1475,3,2021-01-07
07-01-2021_10:01:13_1701_2,1701,2,2021-01-07
08-01-2021_12:42:43_1085_3,1085,3,2021-01-08
08-01-2021_17:08:39_1884_3,1884,3,2021-01-08
08-01-2021_16:51:18_1289_3,1289,3,2021-01-08
08-01-2021_11:23:48_1272_2,1272,2,2021-01-08
08-01-2021_09:47:23_1406_2,1406,2,2021-01-08
08-01-2021_13:20:48_1367_2,1367,2,2021-01-08
08-01-2021_22:46:55_1367_1,1367,1,2021-01-08
08-01-2021_13:50:12_1250_3,1250,3,2021-01-08
08-01-2021_08:45:40_1580_3,1580,3,2021-01-08
08-01-2021_18:16:30_1292_2,1292,2,2021-01-08
08-01-2021_16:26:45_1701_1,1701,1,2021-01-08
08-01-2021_20:11:16_1165_3,1165,3,2021-01-08
08-01-2021_05:07:58_1997_3,1997,3,2021-01-08
08-01-2021_20:46:09_1487_3,1487,3,2021-01-08
08-01-2021_07:57:27_1475_1,1475,1,2021-01-08
08-01-2021_02:17:07_1101_3,1101,3,2021-01-08
08-01-2021_15:33:03_1368_2,1368,2,2021-01-08
08-01-2021_23:18:29_1385_3,1385,3,2021-01-08
08-01-2021_15:47:58_1335_2,1335,2,2021-01-08
08-01-2021_04:10:27_1200_3,1200,3,2021-01-08
08-01-2021_23:04:53_1898_1,1898,1,2021-01-08
08-01-2021_15:17:58_1570_2,1570,2,2021-01-08
08-01-2021_16:50:27_1570_2,1570,2,2021-01-08
09-01-2021_12:55:48_1792_3,1792,3,2021-01-09
09-01-2021_01:19:33_1511_1,1511,1,2021-01-09
09-01-2021_02:14:31_1506_1,1506,1,2021-01-09
09-01-2021_07:25:23_1134_1,1134,1,2021-01-09
09-01-2021_15:13:52_1675_3,1675,3,2021-01-09
09-01-2021_01:06:15_1568_2,1568,2,2021-01-09
09-01-2021_09:37:47_member_id_2,member_id,2,2021-01-09
09-01-2021_16:57:03_1232_1,1232,1,2021-01-09
09-01-2021_09:23:10_1333_1,1333,1,2021-01-09
09-01-2021_08:09:46_1367_1,1367,1,2021-01-09
09-01-2021_09:18:46_1452_3,1452,3,2021-01-09
09-01-2021_13:12:47_1289_1,1289,1,2021-01-09
09-01-2021_13:25:54_1331_1,1331,1,2021-01-09
09-01-2021_20:32:05_1282_3,1282,3,2021-01-09
09-01-2021_22:16:40_1414_2,1414,2,2021-01-09
09-01-2021_19:47:30_1422_3,1422,3,2021-01-09
09-01-2021_13:44:43_1589_2,1589,2,2021-01-09
09-01-2021_11:08:09_1361_1,1361,1,2021-01-09
09-01-2021_13:54:15_1540_2,1540,2,2021-01-09
09-01-2021_22:16:59_1310_2,1310,2,2021-01-09
09-01-2021_09:34:32_member_id_3,member_id,3,2021-01-09
09-01-2021_02:16:09_1013_3,1013,3,2021-01-09
09-01-2021_02:08:12_1222_3,1222,3,2021-01-09
09-01-2021_02:10:05_1650_3,1650,3,2021-01-09
09-01-2021_21:49:36_1865_1,1865,1,2021-01-09
09-01-2021_22:17:12_1087_3,1087,3,2021-01-09
09-01-2021_19:29:05_1250_3,1250,3,2021-01-09
09-01-2021_12:59:11_1013_1,1013,1,2021-01-09
09-01-2021_05:47:34_1506_3,1506,3,2021-01-09
09-01-2021_15:02:44_1487_1,1487,1,2021-01-09
10-01-2021_15:35:46_1292_1,1292,1,2021-01-10
10-01-2021_12:48:12_1366_1,1366,1,2021-01-10
10-01-2021_11:57:19_1513_1,1513,1,2021-01-10
10-01-2021_18:45:34_1101_3,1101,3,2021-01-10
10-01-2021_13:20:04_1925_2,1925,2,2021-01-10
10-01-2021_06:52:43_1294_3,1294,3,2021-01-10
10-01-2021_01:33:07_1413_3,1413,3,2021-01-10
10-01-2021_19:13:34_1294_3,1294,3,2021-01-10
10-01-2021_15:58:43_1372_1,1372,1,2021-01-10
10-01-2021_11:17:59_1580_2,1580,2,2021-01-10
10-01-2021_21:39:20_1865_3,1865,3,2021-01-10
10-01-2021_04:44:39_1650_3,1650,3,2021-01-10
10-01-2021_01:08:22_1222_2,1222,2,2021-01-10
10-01-2021_03:26:53_1923_3,1923,3,2021-01-10
10-01-2021_08:35:34_1402_2,1402,2,2021-01-10
10-01-2021_15:59:05_1307_1,1307,1,2021-01-10
10-01-2021_21:44:05_1506_2,1506,2,2021-01-10
11-01-2021_14:58:19_1232_1,1232,1,2021-01-11
11-01-2021_10:42:57_1511_3,1511,3,2021-01-11
11-01-2021_08:53:30_1335_3,1335,3,2021-01-11
11-01-2021_12:17:11_1289_3,1289,3,2021-01-11
11-01-2021_07:17:28_1074_2,1074,2,2021-01-11
11-01-2021_01:28:46_1100_3,1100,3,2021-01-11
11-01-2021_01:03:14_1511_1,1511,1,2021-01-11
11-01-2021_15:59:01_1697_2,1697,2,2021-01-11
11-01-2021_20:33:26_1620_3,1620,3,2021-01-11
11-01-2021_18:32:02_1100_3,1100,3,2021-01-11
11-01-2021_12:32:58_1087_3,1087,3,2021-01-11
11-01-2021_12:16:19_1460_2,1460,2,2021-01-11
11-01-2021_13:16:56_1331_2,1331,2,2021-01-11
11-01-2021_19:58:52_1660_2,1660,2,2021-01-11
11-01-2021_12:37:39_1513_2,1513,2,2021-01-11
11-01-2021_04:30:42_1346_1,1346,1,2021-01-11
11-01-2021_18:31:17_1234_3,1234,3,2021-01-11
11-01-2021_12:20:43_1164_3,1164,3,2021-01-11
11-01-2021_08:35:57_1385_3,1385,3,2021-01-11
11-01-2021_05:03:05_1513_1,1513,1,2021-01-11
11-01-2021_11:28:53_1706_1,1706,1,2021-01-11
11-01-2021_10:17:18_1761_3,1761,3,2021-01-11
11-01-2021_13:39:21_1568_1,1568,1,2021-01-11
11-01-2021_23:04:52_1886_3,1886,3,2021-01-11
11-01-2021_06:44:47_1333_3,1333,3,2021-01-11
11-01-2021_04:48:17_1620_3,1620,3,2021-01-11
11-01-2021_20:47:45_1333_2,1333,2,2021-01-11
11-01-2021_14:15:12_1997_2,1997,2,2021-01-11
11-01-2021_16:06:31_1513_3,1513,3,2021-01-11
11-01-2021_20:12:27_1200_1,1200,1,2021-01-11
11-01-2021_03:40:13_1706_3,1706,3,2021-01-11
11-01-2021_21:45:01_1620_3,1620,3,2021-01-11
12-01-2021_01:21:09_1101_2,1101,2,2021-01-12
12-01-2021_18:04:16_1030_1,1030,1,2021-01-12
12-01-2021_08:39:51_1511_1,1511,1,2021-01-12
12-01-2021_15:18:01_1761_1,1761,1,2021-01-12
12-01-2021_10:58:26_1402_1,1402,1,2021-01-12
12-01-2021_07:46:42_1509_1,1509,1,2021-01-12
12-01-2021_19:22:38_1506_3,1506,3,2021-01-12
12-01-2021_08:26:04_1765_3,1765,3,2021-01-12
12-01-2021_20:33:51_1333_1,1333,1,2021-01-12
12-01-2021_19:55:24_1923_1,1923,1,2021-01-12
12-01-2021_18:24:36_1520_3,1520,3,2021-01-12
12-01-2021_10:02:14_1595_1,1595,1,2021-01-12
12-01-2021_17:51:31_1761_3,1761,3,2021-01-12
12-01-2021_01:49:27_1087_3,1087,3,2021-01-12
12-01-2021_12:47:34_1031_2,1031,2,2021-01-12
12-01-2021_02:02:44_1134_3,1134,3,2021-01-12
12-01-2021_02:28:50_1701_1,1701,1,2021-01-12
12-01-2021_10:45:51_1460_3,1460,3,2021-01-12
12-01-2021_22:07:40_1087_3,1087,3,2021-01-12
12-01-2021_10:43:35_1855_2,1855,2,2021-01-12
12-01-2021_01:56:49_1307_3,1307,3,2021-01-12
12-01-2021_03:34:07_1422_3,1422,3,2021-01-12
13-01-2021_15:26:17_1701_2,1701,2,2021-01-13
13-01-2021_17:31:07_1010_2,1010,2,2021-01-13
13-01-2021_09:39:15_1232_3,1232,3,2021-01-13
13-01-2021_22:12:45_1307_3,1307,3,2021-01-13
13-01-2021_21:39:04_1620_1,1620,1,2021-01-13
13-01-2021_03:22:33_1010_2,1010,2,2021-01-13
13-01-2021_14:32:39_1074_3,1074,3,2021-01-13
13-01-2021_12:29:04_1454_3,1454,3,2021-01-13
13-01-2021_18:56:52_1509_2,1509,2,2021-01-13
13-01-2021_18:47:54_1289_1,1289,1,2021-01-13
13-01-2021_01:44:11_1074_1,1074,1,2021-01-13
13-01-2021_13:10:06_1413_2,1413,2,2021-01-13
13-01-2021_03:55:11_1881_2,1881,2,2021-01-13
13-01-2021_20:32:28_1475_3,1475,3,2021-01-13
13-01-2021_08:03:07_1289_1,1289,1,2021-01-13
13-01-2021_16:48:37_1298_2,1298,2,2021-01-13
13-01-2021_05:39:27_1568_1,1568,1,2021-01-13
13-01-2021_18:52:57_1406_3,1406,3,2021-01-13
13-01-2021_22:38:22_1570_2,1570,2,2021-01-13
13-01-2021_20:24:19_1650_3,1650,3,2021-01-13
13-01-2021_02:16:33_1087_2,1087,2,2021-01-13
13-01-2021_05:02:09_1460_3,1460,3,2021-01-13
13-01-2021_17:34:42_1761_3,1761,3,2021-01-13
13-01-2021_18:28:22_1165_3,1165,3,2021-01-13
13-01-2021_08:35:02_1506_2,1506,2,2021-01-13
13-01-2021_04:54:16_1232_2,1232,2,2021-01-13
13-01-2021_09:13:45_1881_3,1881,3,2021-01-13
13-01-2021_23:55:35_1706_3,1706,3,2021-01-13
13-01-2021_03:01:36_1701_2,1701,2,2021-01-13
14-01-2021_22:54:12_1898_2,1898,2,2021-01-14
14-01-2021_08:55:29_1250_2,1250,2,2021-01-14
14-01-2021_18:17:53_1973_1,1973,1,2021-01-14
14-01-2021_20:19:04_1361_1,1361,1,2021-01-14
14-01-2021_16:35:42_1207_1,1207,1,2021-01-14
14-01-2021_22:42:58_1335_3,1335,3,2021-01-14
14-01-2021_01:49:04_1250_1,1250,1,2021-01-14
14-01-2021_14:07:29_1513_2,1513,2,2021-01-14
14-01-2021_07:58:50_1010_3,1010,3,2021-01-14
14-01-2021_03:14:30_1928_1,1928,1,2021-01-14
14-01-2021_22:29:04_1795_1,1795,1,2021-01-14
14-01-2021_11:32:15_1298_2,1298,2,2021-01-14
14-01-2021_04:52:11_1489_3,1489,3,2021-01-14
14-01-2021_19:25:34_1250_3,1250,3,2021-01-14
14-01-2021_22:55:07_1540_1,1540,1,2021-01-14
14-01-2021_20:01:21_1232_1,1232,1,2021-01-14
14-01-2021_04:06:06_1101_2,1101,2,2021-01-14
14-01-2021_22:37:54_1335_1,1335,1,2021-01-14
14-01-2021_15:39:09_1385_3,1385,3,2021-01-14
14-01-2021_14:02:16_1366_2,1366,2,2021-01-14
14-01-2021_13:46:47_1475_1,1475,1,2021-01-14
14-01-2021_15:28:14_1194_3,1194,3,2021-01-14
14-01-2021_21:56:30_1625_3,1625,3,2021-01-14
14-01-2021_21:56:30_1923_1,1923,1,2021-01-14
14-01-2021_14:43:34_1298_1,1298,1,2021-01-14
14-01-2021_17:08:50_1761_3,1761,3,2021-01-14
14-01-2021_04:13:02_1660_2,1660,2,2021-01-14
14-01-2021_13:52:31_1336_2,1336,2,2021-01-14
14-01-2021_04:57:25_1142_1,1142,1,2021-01-14
14-01-2021_16:14:34_1372_1,1372,1,2021-01-14
15-01-2021_11:03:07_1372_2,1372,2,2021-01-15
15-01-2021_16:47:39_1522_3,1522,3,2021-01-15
15-01-2021_12:22:55_1422_1,1422,1,2021-01-15
15-01-2021_02:06:24_1487_2,1487,2,2021-01-15
15-01-2021_03:02:29_1031_1,1031,1,2021-01-15
15-01-2021_17:03:47_1289_2,1289,2,2021-01-15
15-01-2021_11:54:17_1074_1,1074,1,2021-01-15
15-01-2021_19:27:46_1368_3,1368,3,2021-01-15
15-01-2021_16:08:51_1660_2,1660,2,2021-01-15
15-01-2021_17:22:26_1292_1,1292,1,2021-01-15
15-01-2021_04:50:19_1368_2,1368,2,2021-01-15
15-01-2021_16:23:55_1972_2,1972,2,2021-01-15
15-01-2021_03:02:56_1074_1,1074,1,2021-01-15
15-01-2021_20:27:49_1898_2,1898,2,2021-01-15
15-01-2021_20:57:16_1292_2,1292,2,2021-01-15
15-01-2021_11:28:16_1346_2,1346,2,2021-01-15
15-01-2021_07:49:09_1520_3,1520,3,2021-01-15
15-01-2021_15:41:48_1194_3,1194,3,2021-01-15
15-01-2021_10:26:04_1795_1,1795,1,2021-01-15
16-01-2021_06:29:09_1511_1,1511,1,2021-01-16
16-01-2021_06:46:53_1250_1,1250,1,2021-01-16
16-01-2021_18:45:15_1165_1,1165,1,2021-01-16
16-01-2021_09:36:14_1650_2,1650,2,2021-01-16
16-01-2021_01:16:56_1549_2,1549,2,2021-01-16
16-01-2021_03:11:02_1294_3,1294,3,2021-01-16
16-01-2021_20:43:18_1855_2,1855,2,2021-01-16
16-01-2021_01:41:45_1487_3,1487,3,2021-01-16
16-01-2021_09:31:09_1928_2,1928,2,2021-01-16
16-01-2021_16:41:41_1031_3,1031,3,2021-01-16
16-01-2021_05:20:18_1346_2,1346,2,2021-01-16
16-01-2021_09:13:07_1972_2,1972,2,2021-01-16
16-01-2021_14:14:48_1706_2,1706,2,2021-01-16
16-01-2021_08:42:23_1272_3,1272,3,2021-01-16
16-01-2021_01:24:19_1222_3,1222,3,2021-01-16
16-01-2021_08:53:33_1942_2,1942,2,2021-01-16
16-01-2021_08:41:31_1632_1,1632,1,2021-01-16
16-01-2021_12:43:48_1346_3,1346,3,2021-01-16
16-01-2021_17:23:10_1282_3,1282,3,2021-01-16
16-01-2021_06:08:28_1886_2,1886,2,2021-01-16
16-01-2021_07:10:48_1923_1,1923,1,2021-01-16
17-01-2021_20:09:26_1200_1,1200,1,2021-01-17
17-01-2021_01:38:19_1489_3,1489,3,2021-01-17
17-01-2021_11:07:45_1942_3,1942,3,2021-01-17
17-01-2021_22:17:49_1074_3,1074,3,2021-01-17
17-01-2021_14:26:50_1164_1,1164,1,2021-01-17
17-01-2021_06:52:02_1589_1,1589,1,2021-01-17
17-01-2021_15:04:16_1509_2,1509,2,2021-01-17
17-01-2021_07:11:18_1489_3,1489,3,2021-01-17
17-01-2021_04:48:53_1250_3,1250,3,2021-01-17
17-01-2021_10:31:42_1684_2,1684,2,2021-01-17
17-01-2021_07:55:45_1475_2,1475,2,2021-01-17
17-01-2021_07:48:48_1134_2,1134,2,2021-01-17
17-01-2021_10:20:45_1289_1,1289,1,2021-01-17
17-01-2021_23:41:51_1232_3,1232,3,2021-01-17
17-01-2021_08:09:48_1865_1,1865,1,2021-01-17
17-01-2021_18:39:18_1413_2,1413,2,2021-01-17
17-01-2021_06:48:57_1792_3,1792,3,2021-01-17
17-01-2021_01:46:35_1706_1,1706,1,2021-01-17
17-01-2021_23:07:18_1367_1,1367,1,2021-01-17
17-01-2021_15:17:31_1277_1,1277,1,2021-01-17
17-01-2021_12:53:04_1568_3,1568,3,2021-01-17
17-01-2021_09:43:17_1406_3,1406,3,2021-01-17
18-01-2021_04:36:11_1142_2,1142,2,2021-01-18
18-01-2021_20:41:06_1310_3,1310,3,2021-01-18
18-01-2021_11:55:27_1967_3,1967,3,2021-01-18
18-01-2021_14:01:01_1625_3,1625,3,2021-01-18
18-01-2021_22:20:26_1865_1,1865,1,2021-01-18
18-01-2021_02:46:44_1294_3,1294,3,2021-01-18
18-01-2021_23:43:17_1992_1,1992,1,2021-01-18
18-01-2021_14:37:04_1222_3,1222,3,2021-01-18
18-01-2021_20:46:49_1385_2,1385,2,2021-01-18
18-01-2021_14:54:01_1031_1,1031,1,2021-01-18
18-01-2021_23:27:39_1540_3,1540,3,2021-01-18
18-01-2021_03:14:36_1367_1,1367,1,2021-01-18
18-01-2021_03:02:32_1307_2,1307,2,2021-01-18
18-01-2021_01:16:56_1013_2,1013,2,2021-01-18
18-01-2021_16:51:33_1414_1,1414,1,2021-01-18
18-01-2021_08:48:26_1997_1,1997,1,2021-01-18
18-01-2021_09:13:04_1282_3,1282,3,2021-01-18
18-01-2021_22:12:50_1087_3,1087,3,2021-01-18
18-01-2021_10:47:40_1368_1,1368,1,2021-01-18
18-01-2021_23:13:12_1030_1,1030,1,2021-01-18
18-01-2021_15:58:23_1684_3,1684,3,2021-01-18
