id,description
2631854,wjfq pqppv dxxwjm hksv
2718566,wjfq pqppv xkcsmqg jwcj xkgtqw fxdp an
307931,xkcsmqg ksalfjkkqja lkjlsgrjw
302020,aqcmshzkj ajpjgh/bskna azcsk amsl ljsa ahkqmcpjaa
301923,fxphtxzaj bskna ljkbjghpv lkxhjqm ysmqpps gtsq hjs fjyjkscj
2628573,wp dxxwjm lpsmhjk xm ahsmw a2
309390,gtjkkqja adjjh kjw
2408291,cnq 3 dqmhjk ajsa aghg cfhg na gkp hdwa wqalpsv
2627789,wp fsarjh dqht pjshtjk tsmwpj a2
2203930,wkqagxppa ahksdfjkkqja fjkkv fqc
2629772,wjfq pqppv cpsaa lpsmhjk pc
303095,lxhshxja kzaajh
2702593,wjfq pqppv vjsk xb htj ksffqh ysaj pc
2590659,arqllv fqhja ca gtxgxpshj ljsmzh fzhhjk
2528859,jmbsnqp mjzkxlkx ajmaqhqyj lxdwjk
309633,lslsvsa ahksdfjkkv/azmkqaj
2623343,wjfq pqppv dqmhjk qgxm lpsmhjk pc
308623,sllpja bzeq pskcj
2531342,bsnxza snxa gtxgxpshj gtql 93xu
309681,nsmcxa pskcj
113631,wjfq pqppv bpskj hxl ysaj an
309973,ljska kjw
2712290,wjfq pqppv czswspzlj nsaxm ysaj pc
387834,aqcmshzkj ajpjgh fsca ahxkscj bkjjujk kjajsp izskh
5426,cnq kjjaja lzbba fzmmqja wqalpsv
2712659,wjfq pqppv czswspzlj lksvjk cpxfj
2622996,wjfq pqppv njkkv nsaxm ysaj an
308578,wkqagxppa ahksdfjkkqja 9pf
303357,pjhhzgj qgjfjkc
307361,xkcsmqg fpzjfjkkqja lkjlsgrjw
990296,aqcmshzkj ajpjgh/gskj rqwwqj zla eznfx 6[7h fxv
2622258,wjfq pqppv kqffjw nxwjkm ysaj
2955801,tzccqja pqhhpj nxyjka wqsljka cqcs ek lr au 2
2702446,wjfq pqppv dxxp jcc wjgxk an
386006,kjvmxpwa fsca xyjm hzkrjv aquj
2627781,wp njswxd dxxw lpsmhjk ajh3
2702036,wjfq pqppv cxpw ljwjahsp ysaj an
2623385,wjfq pqppv dqmhjk qgxm ysaj pc
112827,wp jpjnjmh cpsaa ysaj an
303488,xmqxma ckjjm
2634088,wp bpxksp pqw gsmwpj dqwj
2634573,wp hsljk gsmwpj txpwjk ajh3
532702,aqcmshzkj ajpjgh/bskna gszpqbpxdjk
2702091,wjfq pqppv cxpw fsmw ysaj pc
2566594,hjosa kxswtxzaj cxpw aszgj
95124,aqcmshzkj ajpjgh yjcjhsfpj xqp gsmxps fpjmw 60 xzmgj
2622251,wjfq pqppv yqmhscj fjpp ysaj an
2629531,wp bpxksp nsaxm esk an
2623416,wp wqsnxmw ysaj pc
387832,aqcmshzkj ajpjgh fsca bxxw ahxkscj kjajsp csppxm
2712699,wjfq pqppv czswspzlj gsmwpj
308695,sllpja kjw wjpqgqxza pskcj
302959,aizsat uzggtqmq ckjjm
2533380,wkqagxppa fpzjfjkkqja 4 xu xkcsmqg
990314,aqcmshzkj ajpjgh/gskj lsmh jsav apjjl fxv vxzht anspp/njwqzn 34 gxzmh
2479942,aqnqpsg 248 hxhsp gskj ajmaqhqyj 3 xzmgj fxhhpj mqllpj
387836,aqcmshzkj ajpjgh fsca bxxw ahxkscj kjajsp izskh
308633,sllpja cxpwjm wjpqgqxza pskcj
308411,aqcmshzkj ajpjgh/bskna fpzjfjkkqja 90 xu
2709132,wp dxxw pqw gsmwpj hspp
2623378,wjfq pqppv yjpyjh lznlrqm cqsmh
2403259,cjmjksp nqppa saaxkhjw lkxwzgh wqalpsv
2710738,wjfq pqppv fsarjh dqht tsmwpja a3
532759,aqcmshzkj ajpjgh/bskna fkzaajpa alkxzha
2596427,arqllv ljsmzh fzhhjk fqhja wxzfpj ljsmzh fzhhjk atqlljk
2627784,wp gvpqmwjk xm dxxw ahsmw an
2755918,wjfq pqppv njswxd dxxw
308405,ahksdfjkkqja pxmc ahjn lkjlsgrjw
2629142,wjfq pqppv yjpyjh lznlrqm oa
308031,nsmwskqma gpjnjmhqmj/hsmcjkqmja lkjlsgrjw
2480628,wjfq pqppv cxpw ljwjahsp ysaj
2718966,wjfq pqppv xkcsmqg jwcj xkgtqw fxdp pc
113313,wp bpxksp lpsmhjk an
2451631,rjppxcc;a lxl[hskha bkxahjw fsmsms fkjsw 92.7xu
2629567,wp gtjjkbzp qppzaqxm apqn
2702092,wjfq pqppv bpxksp gjksnqg ysaj atxkh
2596431,arqllv ljsmzh fzhhjk fqhja gxgxmzh gsk/gtxgxpshj lf /swyjmh wqalpsv
308573,wkqagxppa fpsgrfjkkqja 4 xu
307499,gtskw adqaa kjw xkcsmqg
31383,aqcmshzkj ajpjgh ckjjm fjsma gzh mx asph 96.7 xzmgj
2524932,mzhjpps f kjswv h98 5xu
308003,cksljbkzqh kjw pskcj
2533384,wkqagxppa fpzjfjkkqja 90 xu
2628552,wp kxzmw kxlj tsmwpj fsarjh a3
2628083,wp kxzmw bxxhjw lxh a2
302395,aqcmshzkj ajpjgh/bskna hxnshxja gsnlskq
49578,aqnlpv xksmcj tqct lzpl ezqgj
26209,aqcmshzkj ajpjgh ahzbbqmc nqo gtqgrjm 4 xzmgj
66723,aqcmshzkj ajpjgh axbhpv bpzatsfpj dqlja 940 gxzmh
2629184,wjfq pqppv gxpznm ysaj atxkh
2533385,wkqagxppa fpzjfjkkqja 4 xu
302042,aqcmshzkj ajpjgh/bskna fsfv ljjpjw gskkxha 9pf
990289,aqcmshzkj ajpjgh/gskj lsmh jsav apjjl cqkp vxzht anspp/njwqzn 34 gxzmh
2628310,wp hqjkjw bqfjkahxmj lxha a2
2712601,wjfq pqppv bxxhjw bpskj ysaj pc
2622867,wjfq pqppv yjpyjh lznlrqm pc
2567268,xyjkexvjw fxzhqizj ahjcxaszkza lpzat
2715496,wjfq pqppv rspstskq gjksnqg lxh ajkqja
2542834,pqmwasv izjjm ahzbbjw dqht fpzj gtjjaj 5xu
2955802,tzccqja pqhhpj nxyjka wqsljka cqcs ek lr au 6
2572188,aqcmshzkj ajpjgh adjjh rskxpqmj fpsgrfjkkqja 98 xzmgj
2712568,wjfq pqppv czswspzlj kxaj cpxfj
308419,ahksdfjkkqja lkjlsgrjw
95179,aqcmshzkj ajpjgh xqp gsmxps 60 bpzqw xzmgj
303838,cskpqg
309690,lqmjsllpj cxpw
309458,fkxggxpq gkxdma
309974,ljska kqlj wsmexz
2702370,wjfq pqppv cxpwjm kxnsmgj ysaj an
31364,wjp nxmhj gzh ckjjm fjsma
303430,txh txzaj vjppxd fjpp ljlljka
91978,aqcmshzkj ajpjgh fkxdm azcsk wskr 23 xzmgj
2629776,wjfq pqppv kjgvgpjw txzkcpsaa pc
308178,ckslja fpsgr ajjwpjaa
421122,kxvsp xsr twdw pznl gtskgxsp
2634505,wp tspb nxxm gsmwpj
309306,ljsgtja vjppxd pskcj
2634544,wp gqhkza smw jzgs 2o2 lqppsk
2622831,wjfq pqppv yjpyjh lznlrqm an
31872,x xkcsmqga ckjjm fjsma gzh mx asph swwjw 96.7 xzmgj
2702094,wjfq pqppv nxw yxpgsmx ysaj an
303047,aqcmshzkj ajpjgh/bskna cxpw lxhshxja fsc
303308,pjhhzgj ckjjm pjsb
30828,gskka gksgrjka ljlljk
2702336,wjfq pqppv kjbpjghqyj yxpgsmx nw
303309,pjhhzgj kjw pjsb
2715259,wjfq pqppv lpsmhjka xm ahsmw a2
68300,x xkcsmqga lsahs alsctjhhq 94 xzmgj
308498,syxgswxa tsaa pskcj
308029,xksmcja msyjp
2485399,wjfq pqppv bpxksp gjksnqg ysaj hspp
2218513,wkqagxppa xkcsmqg ksalfjkkqja lkjlsgrjw
307306,xkcsmqg fpsgrfjkkqja lkjlsgrjw
255866,joj qhjn fk qhjn 88889
2546420,fjhhv gkxgrjk fshgtsfpja gtxgxpshj gtql gxxrqj nqo
308179,ckslja ckjjm ajjwpjaa
2702080,wjfq pqppv adqkp ysaj pc
112819,wp yxpgsmx esk pc
66218,aqcmshzkj ajpjgh dqlja nxqah bpzatsfpj hxqpjh kjbqpp 63 gxzmh
2460862,bqkjpxc lqmj nxzmhsqm tjkatjv;a kxsahqmc pxc
112873,wp yxpgsmx esk an
2528452,jmbsnqp qmbsmh khz 0xu 6o4fhp
309410,fkzaajpa alkxzha
308161,ckslja kjw ajjwpjaa
2628612,wp kxzmwjw nshhj lxh a2
2565223,nxhha sghqyj dshjknjpxm 4[0bu
2443713,aqcmshzkj ajpjh/bskna nsmwskqm xksmcja cxpw mzccjh 3 pf
308682,sllpja txmjvgkqal pskcj
2702032,wjfq pqppv kjbpjghqyj yxpgsmx an
31905,aqcmshzkj ajpjgh gzh ckjjm fjsma 96.7 xzmgj
2715240,wjfq pqppv aljgrpjw lxh ajkqja
2702086,wjfq pqppv hksmizqpqhv ysaj
2715203,wjfq pqppv amsqp cskwjm skh an
2702398,wjfq pqppv rksbh tsh fxo ajh xb 3
2702323,wjfq pqppv tjppx alkqmc cskpsm
401937,gsnlfjppa hzkrjv dqht dtqhj > dqpw kqgj gtzmrv axzl
308026,hsmcjpxa nqmmjxps
307088,xkcsmqg psgqmshx rspj ckjjma
2955817,tzccqja pqhhpj nxyjka wqsljka cqcs ek lr aquj 4
309488,salskscza ckjjm
301338,fxphtxzaj bskna ljkbjghpv lkxhjqm nxgts gsllzggqmx
2634138,wp gxpxk njsmqmc gsmwpj
2443708,aqcmshzkj ajpjgh/bskna nsmwskqm xksmcja cxpw mzccjh 2 pf
2712270,wjfq pqppv czswspzlj nsaxm ysaj an
308417,ksalfjkkqja kjw lkjlsgrjw
2401429,wkqagxpp hkxlqgsp fpqaa ahksdfjkkv
2629510,pqhhpj pqppv pzms htj kscwxpp gsh
2751798,wp nshhj lxha dqht ahsmw a2
2444683,ajyjmht cjmjkshqxm bxsnqmc wqat alksv% txmjvgkqal sllpj [ 94 bp. xu.
410226,wkqagxpp ahksdfjkkqja fjkkv fqc 90 xu
2715251,wjfq pqppv nxw bxxhjw lxh ajkqja
2448794,rjjfpjk gtqla wjpzoj bzwcv
2556410,kjjaja lqjgja ljc
2702521,wjfq pqppv tjskh atsljw ysaj
2547691,csnjas aspswqhsa asphqmj 94.3xu
309328,lpzna fpsgr
2718567,wjfq pqppv ajjwjw cpsaa lqhgtjk
2525950,rf bzwcj ahkqlja 93gh
2627723,skqsms pqcthdjqcth lxh
112868,wp gxksp smw ascj hsljka a4
29052,gsnlfjppa gkjsn xb nzatkxxn gxmwjmajw axzl
112989,wp kshhsm fsarjh dqht tsmwpja a2
2711576,rmxkk fxzppqxm gtqgrjm ujkx asph
2702304,wjfq pqppv dxxwjm ahsk wjgxk
113408,wp azmatqmj ysaj an
308152,ckslja gxhhxm gsmwv
990280,aqcmshzkj ajpjgh/gskj rqwwqj zla eznfx 2[6h cqkp 32 gxzmh
303465,fjpp ljlljka kjw
2629052,wjfq pqppv kjsghqyj gjksnqg ysaj pc
2556400,qgj fkjsrjka qgj gzfja bkzqh lzmgt bpsyxkjw czn fxhhpj lsgr
526632,nxhtjka nvhtqgsp gkjshzkja 1xu
117212,wsvhxm pqcthdjqcth lxh
2402964,bxzmwkv gsmwpj 90xu gsghza fpxaaxn
2755702,jizsp lsgrjha 328 o 36 wqalpsv
604834,kxaj alksv 1 ahjn
2771632,ejaaqj pxkw lznlrqm lqj mx psfjp
2456172,wjfq pqppv szhznm pjsyja azlkjnj s
2431150,saaxkhjw fpxxnqmc qm gjksnqg
2308187,gxzmhkv gpsaaqga lqmh aquj dqwj nxzht cpsaa gsmmqmc esk
2448341,gpxkxo wqaqmbjghqmc dqlja xm htj cx fpjsgt bkjj hksyjp dqlja gkqal pjnxm 1 gxzmh
9881266,fxzizjh bsknjka nskrjh
2965372,wxyj swysmgjw gskj wkv alksv smhqljkalqksmh gxxp jaajmhqspa
597520,wjfq pqppv gjpjfkshj nxn azlkjnj fih
2771699,lkjhuqpps gtjjaj bqppjw axbh lkjhujp fqhja
69196,xpw jp lsax eslsmjaj qmalqkjw hjkqvsrq dxpw hsgx wqmmjk rqh
247201,cjknsm gtxgxpshj gsrj gtjjajgsrj 96 gzh
2539970,kswqsmh gqhkza fi
538422,lqkshja fxxhv nzphqlsgr atqlljk
596179,lpafkv bkxahqmc azcsk bkjj ysmqpps kha
600730,tqgrxkv bskna tsn tspb alqksp apqgjw txmjvcxpw
2474869,gslkqggqx hsrj xzh gxgrhsqp ahksdfjkkv nskcskqhs khw dqmj
40810,xkj qws atkjwwjw lxhshxja hshjk hxha
657751,atskl njhsppqg .7nn ejdjp gxpxk ljmgqp
574662,hqppsnxxr atkjw lskn wg
764885,rmxkk kqgj > aszgj njwpjv
310908,wjfq pqppv cskwjm tvwksmcjsa
2713201,fzfa azlkjnj s3 qmbsmh bxknzps ahscj 9
734653,ljlljka nsmusmx
2586538,9/6 atjjh bzmbjhhq dtqhj gsrj dqht gxmbjhhq smw ysmqpps fzhhkgkjnj
2308181,fspp kn lqmh ra amxd esk
580963,gzhdshjk nsq hsq khw
2527011,kxfa fsgrahscj lxlgxkm dtqhj gtjwwsk 6xu
274445,wxkqhxa hxkhqpps gtqla bpsnj lld 3528 xzmgja wqalpsv
617136,lxpyxkxm lqmr azcsk gxxrqj
290397,lsmsljags fpzj nzaajpa sag gjkh
647520,njpqhhs gxbbjj bqphjka fsarjh ezmqxk dth
41220,tzmckv nsm fjjk fshhjkjw gtqgrjm
710446,gjwska txnnza xkcsmqg xkqcqmsp
531342,gsghza fksqm
405102,sww dshjk/kjgxmahqhzhj gskw
2685396,fpxxnqmc qm bkjat gzh hqm
2482471,njoqgsm djwwqmc gxxrqj
411219,kjw tsh ksmgt fsgxm gtjwwsk fzkcjka
2593388,fxzizjh fzh bqkah dqmj
602764,sllpja azcskfjj
251055,rg agxhh nzphq bxpw hxdjp
102326,fqkwa jvj ajs asph smw gksgrjw ljlljk fkzaajpa alkxzha
2284633,zmq gtsk pxc dxxw jmw hsfpj
2259503,ljahx hxkhjppqmq kxsahjw kjw ljlljk aspsw rqh
599641,rszrszms fspp kxaj gtjjaj
2639353,nqojw skksmcjnjmh cqbh fxo
71015,askcjmhx mshzksp fpjmwa gxpfv ljlljk esgr apqgjw
980131,yqgra yslxlshgt swzph
36218,hkjj hxl sllpj ezqgj
411940,nqphxma cpzhjm bkjj gksgrjka saahw atl
2531913,fkxggxpq xkcsmqg
2744541,azmbpxdjk hzknjkqg kxppa hsrj > fsrj 3 xu/75 ck 980 gxzmh
61687,q>pxyj>vxz wxc fjjb fxxvst ahjd
2711480,nw 2lr hjs cpxfja
594286,lqppafzkv lznlrqm gxxrqj/gsrj/bkxahqmc wqalpsv
769977,nggxknqgr dtp xkjcsmx pjsyja
41204,ksvfjkma kxsah fjjb gtjwwsk njph asmwdqgt
227415,gslh nxkcsm alqgjw kzn
528431,ctqk gxkj 6bpsyxk 53gh wqalpsv
2286461,cks 48qm jpjltsmh alksv lxxp
627890,fkzat lxh agkzffjk tqct hjnl
9898893,ksmgtx ps cpxkqs nsmcx nskcskqhs dqmj
685096,pqgjmajw ahsnl smw wxxwpj ajh bpxxk wqalpsv
2487379,gxbbjj gsrj ksalfjkkv zlljk gkzah
575005,xkgtqw hdx hxmj hjohzkjw bxxhjw
2847087,smmqj gtzm;a atxvz ksnjm
686976,tqwwjm ysppjv ksmgt htj xkqcqmsp pqcth
2537986,fxmhjkks lqmxh ckqa dqmj
445673,9997 lkxwzgj psfjpa 98kp
224564,bpjqagtnsmma cqm
2491774,fpxxnqmc qm bpxksp gjksnqg 7 qm
777739,kscz gtzmrv cskwjm gxnfx
634410,extmaxmyqppj fkxdm azcsk smw txmjv fkjsrbsah aszascj pqmr
676763,fxzizjh azcsk arzpp
64796,hjesys 4[94.1bu
456448,fzhgtjk fpxgr aqcm gpql
464083,jx fxwv dsat gxgxmzh > pjnxm
597859,sqkfxkmj gtjd hsfa fjkkv
217028,rqmcabxkw tqgrxkv dxxw gtqla
49760,gxzmhkv tjm xkcsmqg pskcj fkxdm jcca
59958,x xkcsmqga lshhqja adjjh lxhshxj > yjccqj
637155,kxaqj xkcsmqg gtqgrjm fkjsah fxmjpjaa arqmpjaa
2728023,ckqbbqm azkyqyxk sqkahksl 248 qlsw 98.3qm fpr
652627,aqcmshzkj ajpjgh/gskj apjjl sqw axbhcjp 78 nc
2537873,jf bskn adjjh nqo xkcsmqg
2589040,nqgtsjp smcjpx;a cxzknjh bxxwa mxmms;a ajgkjh kxsahjw cskpqg aszgj 36xu
271423,bqatjk wkv kxsahjw ljsmzha
637092,"aqcmshzkj bskna 18, pjsm ckxzmw fjjb pxsb 98, bsh"
452720,lkjnqx txh qhspqsm aszascj pqmra
633848,lznlrqmhkjj qm lxh
2869768,ahzbbjw lzbba jsahjk
36932,"xgjsm alksv 988, kzfv kjw cksljbkzqh ezqgj"
760040,ahkjqha nsgskxxm gtxgxpshj gtql
2615116,azhhjk txnj pjnxmswj dqmj gxgrhsqp dqmj
9888100,lqahsgtqxa wkv kxsahjw dqht ajs asph atjppjw
618899,gkzusm pqcth kzn
211866,alqmfkzat swzph>rqwa nqojw bpxxkahsmw/lwi wqalpsv
2417407,azljkqxk xm nsqm ljlljknqmh qgjw gsrj gxxrqja
400095,ct kal kswqsmgj qw aizskja fsc
341537,nqbkxns azq ckzvjkj sxg
767201,fzatja fjah kjw txh gtqpq fjsma
2691404,azmfjsn smw dshjknjpxm azcsk gxnfx
2409120,pxbhtxzaj 1.6 xu lshkqxhqg dtqhj bkxahjw nqmq azcsk gxxrqja
271628,fpzj wqsnxmw kxsahjw asphjw hzfj
2553699,bxzk aqoja fqc kqyjk fjjk nskqmswj nqo 9.37xu
2460348,ljsmzh gtjda wqalpsv
111795,fjah wxmzh kqmc
2434210,lkjhuqpps njhsp wqalpsv ksgr
2432434,fsc fkjsw bkjmgt kqgta aa 554
2202766,gspqyqkcqm espsljmx cskpqg xpqyj xqp
31963,pqffva apqgjw fjjha
564925,hsahjbzp ajpjghqxma ajsaxm > asyxk fkxdm azcsk gqmm nqmq adjjh lxhshx wal
445338,atqjpw yqmvp gpjsk kqcqw 3.7o2.7 qmgt     nzphq[fqppqmc
2774526,aizsat nqojw dqht wqpp
2597635,sbbv hsllpj ljsmzh gjppx[dkslljw sllpj
703022,kjvmxpwa dksl 25.7ab tw/48a wqalpsv
2590060,psyjmwjk bqjpwa fxzizjh
438332,gxnfxa fsrjw amsgra nswj dqht kjsp gtjjaj
766090,wjp nxmhj bkjat gzh bqjahs gxkm
2205253,hsvpxk bskna aspsw bqjahs d/gtqgrjm
413307,ckjjm dsyj azcsk amsl ljsa
682680,fqxbkjjuj hxdjk wqalpsv
2701056,fpzjfjkkv bkzqh alkjsw nxkj bkzqh pjaa azcsk
652028,dqatfxmj pqcth ksmgt aspsw wkjaaqmc
489560,pqcthpqbj anskh wjpq fsrjw tsn ahvpj
2774093,mzhhv smw bkzqhv hsmcjkqmj djwcja
234533,xljm mshzkj fsgxm sllpjdxxw anxrjw zmgzkjw
2524640,wjfq pqppv wqsnxmw aizskj ysaj
290807,gla ushsksqm pjnxm ljlljk bqat bkv
489930,tsnlhxm bskna eznfx kxsahjw > asphjw ljsmzha
675971,tjnlpjka fsgxm jmwa > lqjgja
2443993,aqcmshzkj gsbj gtjjav fsgxm ksmgt lsahs aspsw
2639428,hsrj nv tjskh ysaj
2235390,hfpnh mvj lpsahqg hfpgyk 36lg
